#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A37492
#Date Time: 2023-06-27 08:42:32.768
#Sample rate: 80Hz
#Samples: 4991
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
9.15,1.206241564468937
9.1625,1.067122017980092
9.175000000000001,0.9389855935824701
9.1875,0.8218322912760735
9.199999999999999,0.7193231517579765
9.2125,0.631458175028179
9.225,0.6058308901486548
9.237500000000001,0.6058308901486548
9.25,0.6058308901486548
9.262499999999999,0.6058308901486548
9.275,0.6058308901486548
9.2875,0.6058308901486548
9.300000000000001,0.6058308901486548
9.3125,0.6058308901486548
9.324999999999999,0.6058308901486548
9.3375,0.6058308901486548
9.35,0.6058308901486548
9.362500000000001,0.6058308901486548
9.375,0.6058308901486548
9.387499999999999,0.6058308901486548
9.4,0.6058308901486548
9.4125,0.6094919308457296
9.425000000000001,0.6644075413018531
9.4375,0.7339673145462761
9.449999999999999,0.7998660470936242
9.4625,0.8621037389438974
9.475,0.9243414307941706
9.487500000000001,1.015867448221043
9.5,1.176953238892338
9.512499999999999,1.396615680716832
9.525,1.663871651603299
9.5375,1.953093866672216
9.550000000000001,2.242316081741133
9.5625,2.51689413402175
9.574999999999999,2.754861779331618
9.5875,2.945235895579513
9.6,3.080694401371284
9.612500000000001,3.172220418798156
9.625,3.21981394786013
9.637499999999999,3.230797069951354
9.65,3.216152907163055
9.6625,3.186864581586456
9.675000000000001,3.131948971130333
9.6875,3.066050238582984
9.699999999999999,2.978185261853187
9.7125,2.87567612233509
9.725,2.754861779331618
9.737500000000001,2.630386395631072
9.75,2.505911011930525
9.762499999999999,2.399740831715353
9.775,2.311875854985556
9.7875,2.242316081741133
9.800000000000001,2.194722552679159
9.8125,2.15811214570841
9.824999999999999,2.132484860828886
9.8375,2.106857575949362
9.85,2.084891331766912
9.862500000000001,2.059264046887388
9.875,2.029975721310789
9.887499999999999,1.989704273642965
9.9,1.945771785278066
9.9125,1.898178256216093
9.925000000000001,1.850584727154119
9.9375,1.795669116697996
9.949999999999999,1.740753506241872
9.9625,1.693159977179899
9.975,1.652888529512075
9.987500000000001,1.616278122541326
10,1.583328756267652
10.0125,1.561362512085202
10.025,1.546718349296903
10.0375,1.539396267902753
10.05,1.546718349296903
10.0625,1.557701471388127
10.075,1.579667715570577
10.0875,1.601633959753026
10.1,1.627261244632551
10.1125,1.652888529512075
10.125,1.674854773694524
10.1375,1.693159977179899
10.15,1.704143099271123
10.1625,1.715126221362348
10.175,1.722448302756498
10.1875,1.726109343453573
10.2,1.729770384150648
10.2125,1.733431424847723
10.225,1.733431424847723
10.2375,1.737092465544797
10.25,1.748075587636022
10.2625,1.799330157395071
10.275,1.898178256216093
10.2875,2.055603006190313
10.3,2.267943366620657
10.3125,2.51689413402175
10.325,2.798794267696517
10.3375,3.080694401371284
10.35,3.344289331560676
10.3625,3.57127385477932
10.375,3.754325889633065
10.3875,3.842190866362862
10.4,3.845851907059937
10.4125,3.842190866362862
10.425,3.776292133815514
10.4375,3.677444034994492
10.45,3.585918017567619
10.4625,3.498053040837822
10.475,3.417510145502174
10.4875,3.340628290863601
10.5,3.267407476922104
10.5125,3.19784770367768
10.525,3.106321686250808
10.5375,3.011134628126861
10.55,2.912286529305839
10.5625,2.817099471181892
10.575,2.729234494452094
10.5875,2.652352639813521
10.6,2.575470785174948
10.6125,2.505911011930525
10.625,2.432690197989027
10.6375,2.35214730265338
10.65,2.264282325923582
10.6625,2.17275630849671
10.675,2.070247168978613
10.6875,1.956754907369291
10.7,1.839601605062894
10.7125,1.718787262059423
10.725,1.601633959753026
10.7375,1.488141698143705
10.75,1.378310477231458
10.7625,1.279462378410436
10.775,1.191597401680638
10.7875,1.114715547042065
10.8,1.059799936585942
10.8125,1.019528488918118
10.825,0.9865791226444438
10.8375,0.9682739191590694
10.85,0.9572907970678447
10.8625,0.9536297563707697
10.875,0.9609518377649195
10.8875,0.9719349598561442
10.9,0.9865791226444438
10.9125,1.004884326129818
10.925,1.023189529615193
10.9375,1.041494733100567
10.95,1.056138895888867
10.9625,1.074444099374241
10.975,1.085427221465466
10.9875,1.100071384253765
11,1.114715547042065
11.0125,1.12569866913329
11.025,1.144003872618664
11.0375,1.180614279589413
11.05,1.253835093530911
11.0625,1.378310477231458
11.075,1.565023552782277
11.0875,1.80665223878922
11.1,2.095874453858137
11.1125,2.407062913109503
11.125,2.721912413057944
11.1375,3.01845670952101
11.15,3.278390599013328
11.1625,3.490730959443672
11.175,3.644494668720818
11.1875,3.74334276754184
11.2,3.692088197782792
11.2125,3.596901139658844
11.225,3.512697203626121
11.2375,3.428493267593399
11.25,3.351611412954826
11.2625,3.278390599013328
11.275,3.208830825768905
11.2875,3.146593133918632
11.3,3.084355442068359
11.3125,3.02577879091516
11.325,2.952557976973663
11.3375,2.87567612233509
11.35,2.795133226999442
11.3625,2.721912413057944
11.375,2.652352639813521
11.3875,2.582792866569098
